game_id,rated,treat_type,chat_type,gametime_seconds,status,maia_color,maia_name,maia_avg_move_time,opp_avg_move_time,opp_avg_move_time_3+,opp_avg_move_time_3only,num_moves,opp_name_hashed,opp_name,winner,maia_rating,maia_acc,maia_blunders,maia_mistakes,maia_acpl,maia_inacc,opp_rating,opp_acc,opp_blunders,opp_mistakes,opp_acpl,opp_inacc,respond,game_chats
FdiWlvB3,TRUE,0,Control,805.433,mate,white,chess4gerry,6.1,4.86,4.92,5.52,143,5.94913E+18,imed_cr41,opp,1590,84,4,1,40,10,1583,88,3,2,30,4,FALSE,"[]
"
FYHrslJL,TRUE,1,Chatty,1047.143,mate,black,chess4gerry,5.51,5.51,5.17,2,186,8.2236E+18,NaveenReddy9,opp,1442,80,11,3,49,4,1386,82,6,3,39,6,FALSE,"[{""text"":""hello! good luck!"",""user"":""chess4gerry""},{""text"":""i'm going to take your queen in 4 moves :)"",""user"":""chess4gerry""},{""text"":""uh oh..."",""user"":""chess4gerry""},{""text"":""nice coordination"",""user"":""chess4gerry""},{""text"":""things arent looking good"",""user"":""chess4gerry""}]
"
gbEQtEvZ,TRUE,1,Chatty,150.427,mate,white,chess4gerry,4.58,5.78,6.28,5.44,28,5.32407E+18,MejiasLuis,maia,1483,91,0,0,18,2,1489,73,3,0,87,2,TRUE,"[{""text"":""hello! good luck!"",""user"":""chess4gerry""},{""text"":""hi evening, idem have a pleased game"",""user"":""mejiasluis""},{""text"":""i'm going to take your queen in 4 moves :)"",""user"":""chess4gerry""},{""text"":""uh oh..."",""user"":""chess4gerry""}]
"
gm4ht8xD,TRUE,1,Chatty,674.819,mate,black,chess4gerry,6.11,18.41,19.78,8.24,55,5.00461E+18,karthika1012,maia,1477,95,1,0,28,1,1477,84,2,3,62,0,FALSE,"[{""text"":""hello! good luck!"",""user"":""chess4gerry""},{""text"":""i'm going to take your queen in 4 moves :)"",""user"":""chess4gerry""},{""text"":""uh oh..."",""user"":""chess4gerry""},{""text"":""nice coordination"",""user"":""chess4gerry""},{""text"":""things arent looking good"",""user"":""chess4gerry""}]
"
GQPZJiQs,TRUE,0,Control,502.856,resign,black,chess4gerry,6.76,7.62,7.93,6.88,72,-6.44461E+18,JohanCastellanos,maia,1503,65,1,0,60,7,1425,52,2,2,88,3,TRUE,"[{""text"":""misclic"",""user"":""johancastellanos""},{""text"":""you won"",""user"":""johancastellanos""}]
"
H2aTMs9B,TRUE,1,Chatty,479.634,draw,black,chess4gerry,5.34,11.17,11.79,2.96,56,7.93141E+18,apataka,draw,1448,74,3,0,60,0,1450,80,2,0,46,1,TRUE,"[{""text"":""hello"",""user"":""apataka""},{""text"":""hello! good luck!"",""user"":""chess4gerry""},{""text"":""i'm going to take your queen in 4 moves :)"",""user"":""chess4gerry""},{""text"":""uh oh..."",""user"":""chess4gerry""},{""text"":""nice coordination"",""user"":""chess4gerry""},{""text"":""things arent looking good"",""user"":""chess4gerry""},{""text"":""thank you"",""user"":""apataka""},{""text"":""well played"",""user"":""apataka""}]
"
Hntsl3We,TRUE,0,Control,541.993,mate,black,chess4gerry,6.2,8.53,8.92,7.52,71,8.65449E+18,PagRai2023,maia,1439,76,3,1,52,1,1420,65,4,0,80,2,FALSE,"[]
"
hpoodKc9,TRUE,0,Control,359.269,mate,white,chess4gerry,5.84,5.98,6.09,5.28,59,1.77444E+18,Mahoni08,opp,1459,80,3,3,70,2,1456,83,1,1,46,3,FALSE,"[]
"
hs66g4J5,TRUE,0,Control,899.992,draw,white,chess4gerry,6.09,5.89,5.91,5.2,148,4.11424E+18,fthmercan,draw,1487,81,3,1,49,4,1494,84,1,3,48,6,FALSE,"[]
"
igqfA7JH,TRUE,1,Chatty,876.369,mate,black,chess4gerry,5.88,7.2,7.36,5.28,130,4.17746E+18,VicktorJesus1,opp,1428,78,4,1,41,2,1423,80,2,1,31,1,TRUE,"[{""text"":""hello! good luck!"",""user"":""chess4gerry""},{""text"":""hello"",""user"":""vicktorjesus1""},{""text"":""thanks"",""user"":""vicktorjesus1""},{""text"":""i'm going to take your queen in 4 moves :)"",""user"":""chess4gerry""},{""text"":""uh oh..."",""user"":""chess4gerry""},{""text"":"";)"",""user"":""vicktorjesus1""},{""text"":""nice coordination"",""user"":""chess4gerry""},{""text"":""things arent looking good"",""user"":""chess4gerry""},{""text"":""surprise ;)"",""user"":""vicktorjesus1""}]
"
ioe49mxr,TRUE,1,Chatty,108.604,resign,white,chess4gerry,6.28,7.59,6.78,6.72,15,1.69248E+18,mr_AMIN_ZXT,maia,1476,98,0,0,5,0,1465,69,1,1,80,0,FALSE,"[{""text"":""hello! good luck!"",""user"":""chess4gerry""}]
"
iOVTR9xt,TRUE,0,Control,699.585,resign,white,chess4gerry,6.81,10.42,10.8,6.4,81,-5.95224E+18,NoTaReAsOn101,maia,1490,66,4,5,87,2,1494,69,5,5,109,1,FALSE,"[]
"
IUWvoi0i,TRUE,1,Chatty,275.33,resign,black,chess4gerry,6.44,8.59,9.24,7.52,40,-4.54628E+18,heorca55,maia,1492,96,0,0,33,1,1484,79,1,1,84,4,FALSE,"[{""text"":""hello! good luck!"",""user"":""chess4gerry""},{""text"":""i'm going to take your queen in 4 moves :)"",""user"":""chess4gerry""},{""text"":""uh oh..."",""user"":""chess4gerry""},{""text"":""nice coordination"",""user"":""chess4gerry""}]
"
iVIqsZQF,TRUE,1,Placebo,597.238,stalemate,white,chess4gerry,5.96,4.79,4.53,1.44,111,5.41731E+18,nopeds21,opp,1501,78,4,0,58,8,1552,79,3,2,50,4,FALSE,"[{""text"":""hello! good luck!"",""user"":""chess4gerry""},{""text"":""bananas are berries"",""user"":""chess4gerry""},{""text"":""i like swimming"",""user"":""chess4gerry""},{""text"":""i have to go to the grocery store after this"",""user"":""chess4gerry""},{""text"":""my cat's name is alex"",""user"":""chess4gerry""}]
"
